departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
BER,DAC,condor.com,airport,false,*,*,false
CPT,FRA,condor.com,airport,false,*,*,false
DUS,AMM,condor.com,airport,false,*,*,false
AGA,JED,condor.com,airport,false,*,*,false
YHZ,EBL,condor.com,airport,false,*,*,false
YTO,DUS,condor.com,airport,false,*,*,false
SEA,ADD,condor.com,airport,false,*,*,false
YYC,AMS,condor.com,airport,false,*,*,false
YHZ,KWI,condor.com,airport,false,*,*,false
YTO,MUC,condor.com,airport,false,*,*,false
PMI,HAM,condor.com,airport,false,*,*,false
MUC,LPA,condor.com,airport,false,*,*,false
PRN,MUC,condor.com,airport,false,*,*,false
LEJ,CAI,condor.com,airport,false,*,*,false
MUC,TCI,condor.com,airport,false,*,*,false
PMI,FMO,condor.com,airport,false,*,*,false
MUC,CFU,condor.com,airport,false,*,*,false
HOG,MIL,condor.com,airport,false,*,*,false
HER,HAM,condor.com,airport,false,*,*,false
FRA,YMQ,condor.com,airport,false,*,*,false
FRA,JED,condor.com,airport,false,*,*,false
FRA,AMM,condor.com,airport,false,*,*,false
BER,KBV,condor.com,airport,false,*,*,false
CFU,HAM,condor.com,airport,false,*,*,false
DUS,SUF,condor.com,airport,false,*,*,false
BEY,CPH,condor.com,airport,false,*,*,false
BOS,AYT,condor.com,airport,false,*,*,false
CHQ,HAM,condor.com,airport,false,*,*,false
YYC,MAA,condor.com,airport,false,*,*,false
YYC,CAI,condor.com,airport,false,*,*,false
YTO,COV,condor.com,airport,false,*,*,false
SFO,KYA,condor.com,airport,false,*,*,false
YTO,DMM,condor.com,airport,false,*,*,false
YTO,AUH,condor.com,airport,false,*,*,false
SAT,BER,condor.com,airport,false,*,*,false
YVR,IST,condor.com,airport,false,*,*,false
SEA,FRA,condor.com,airport,false,*,*,false
YTO,SJJ,condor.com,airport,false,*,*,false
MRU,BRU,condor.com,airport,false,*,*,false
MUC,DUB,condor.com,airport,false,*,*,false
MSP,DOH,condor.com,airport,false,*,*,false
MUC,CHQ,condor.com,airport,false,*,*,false
LEJ,KGS,condor.com,airport,false,*,*,false
FRA,BOS,condor.com,airport,false,*,*,false
FRA,SEA,condor.com,airport,false,*,*,false
FRA,YWG,condor.com,airport,false,*,*,false
KGS,DUS,condor.com,airport,false,*,*,false
FRA,VRA,condor.com,airport,false,*,*,false
FRA,FUE,condor.com,airport,false,*,*,false
HAV,JED,condor.com,airport,false,*,*,false
HAM,TNG,condor.com,airport,false,*,*,false
FRA,WAS,condor.com,airport,false,*,*,false
AGA,RUH,condor.com,airport,false,*,*,false
BOS,VCE,condor.com,airport,false,*,*,false
FNC,MUC,condor.com,airport,false,*,*,false
AGA,HAM,condor.com,airport,false,*,*,false
DUS,OLB,condor.com,airport,false,*,*,false
CUN,NUE,condor.com,airport,false,*,*,false
DUS,BCN,condor.com,airport,false,*,*,false
YVR,DUS,condor.com,airport,false,*,*,false
YTO,THR,condor.com,airport,false,*,*,false
YTO,BGW,condor.com,airport,false,*,*,false
YTO,BUD,condor.com,airport,false,*,*,false
YVR,DOH,condor.com,airport,false,*,*,false
XRY,FRA,condor.com,airport,false,*,*,false
SEA,KUT,condor.com,airport,false,*,*,false
YHZ,HRG,condor.com,airport,false,*,*,false
YVR,EBL,condor.com,airport,false,*,*,false
YEA,DOH,condor.com,airport,false,*,*,false
YTO,BDQ,condor.com,airport,false,*,*,false
SAT,IST,condor.com,airport,false,*,*,false
SAT,AMM,condor.com,airport,false,*,*,false
PMI,STR,condor.com,airport,false,*,*,false
MUC,BEY,condor.com,airport,false,*,*,false
LEJ,BCN,condor.com,airport,false,*,*,false
