departure_code,arrival_code,pos_provider_code,route_type
NAY,BMA,emirates.com,airport
NAY,ARN,emirates.com,airport
EPA,NRT,emirates.com,airport
EPA,HND,emirates.com,airport
EZE,NRT,emirates.com,airport
EZE,HND,emirates.com,airport
AEP,NRT,emirates.com,airport
AEP,HND,emirates.com,airport
BLR,NDJ,emirates.com,airport
BKK,SSH,emirates.com,airport
BOM,AHB,emirates.com,airport
CAI,SAT,emirates.com,airport
BRU,NRT,emirates.com,airport
BRU,HND,emirates.com,airport
CAI,SAL,emirates.com,airport
BLR,TBS,emirates.com,airport
BOM,LST,emirates.com,airport
BUD,WDH,emirates.com,airport
BUD,SGN,emirates.com,airport
PKX,NYS,emirates.com,airport
PKX,SWF,emirates.com,airport
PKX,LGA,emirates.com,airport
PKX,JFK,emirates.com,airport
PKX,EWR,emirates.com,airport
CHG,NYS,emirates.com,airport
CHG,SWF,emirates.com,airport
CHG,LGA,emirates.com,airport
CHG,JFK,emirates.com,airport
CHG,EWR,emirates.com,airport
PEK,NYS,emirates.com,airport
PEK,SWF,emirates.com,airport
PEK,LGA,emirates.com,airport
PEK,JFK,emirates.com,airport
PEK,EWR,emirates.com,airport
NAY,NYS,emirates.com,airport
NAY,SWF,emirates.com,airport
NAY,LGA,emirates.com,airport
NAY,JFK,emirates.com,airport
NAY,EWR,emirates.com,airport
CAI,PSS,emirates.com,airport
BGW,TXN,emirates.com,airport
BOM,RIX,emirates.com,airport
CAI,PLZ,emirates.com,airport
BLR,ABZ,emirates.com,airport
CCU,EPA,emirates.com,airport
CCU,EZE,emirates.com,airport
CCU,AEP,emirates.com,airport
BOM,LAD,emirates.com,airport
CAI,KIX,emirates.com,airport
CAI,ITM,emirates.com,airport
CCU,BHH,emirates.com,airport
PKX,MLW,emirates.com,airport
CHG,MLW,emirates.com,airport
PEK,MLW,emirates.com,airport
NAY,MLW,emirates.com,airport
CCU,GYD,emirates.com,airport
CAI,OKA,emirates.com,airport
BNE,CMN,emirates.com,airport
CAI,NJF,emirates.com,airport
CAI,NAP,emirates.com,airport
BNE,AMS,emirates.com,airport
BSR,FCO,emirates.com,airport
BSR,CIA,emirates.com,airport
CMB,BLZ,emirates.com,airport
BSR,POM,emirates.com,airport
CKY,TUN,emirates.com,airport
CAI,MRZ,emirates.com,airport
CKY,LBG,emirates.com,airport
CKY,ORY,emirates.com,airport
CKY,CDG,emirates.com,airport
CKY,BVA,emirates.com,airport
CKY,ZIA,emirates.com,airport
CKY,VKO,emirates.com,airport
CKY,SVO,emirates.com,airport
CKY,DME,emirates.com,airport
BOM,KRN,emirates.com,airport
BOS,HLP,emirates.com,airport
BOS,CGK,emirates.com,airport
BSR,NYS,emirates.com,airport
BSR,SWF,emirates.com,airport
BSR,LGA,emirates.com,airport
BSR,JFK,emirates.com,airport
BSR,EWR,emirates.com,airport
BOM,KBL,emirates.com,airport
CID,DXB,emirates.com,airport
BOM,JUB,emirates.com,airport
GYY,MED,emirates.com,airport
ORD,MED,emirates.com,airport
MDW,MED,emirates.com,airport
BLR,ZIA,emirates.com,airport
BLR,VKO,emirates.com,airport
BLR,SVO,emirates.com,airport
BLR,DME,emirates.com,airport
BLR,ZNZ,emirates.com,airport
GYY,EBL,emirates.com,airport
MDW,EBL,emirates.com,airport
CAI,MFK,emirates.com,airport
BHX,AKL,emirates.com,airport
BOM,YQU,emirates.com,airport
CAI,MBS,emirates.com,airport
BNE,CMB,emirates.com,airport
BSR,MLE,emirates.com,airport
BHM,DXB,emirates.com,airport
BKK,VCE,emirates.com,airport
BNE,FCO,emirates.com,airport
BNE,CIA,emirates.com,airport
PKX,DMM,emirates.com,airport
CHG,DMM,emirates.com,airport
PEK,DMM,emirates.com,airport
NAY,DMM,emirates.com,airport
CCU,YMX,emirates.com,airport
CCU,YUL,emirates.com,airport
CCU,YHU,emirates.com,airport
CAI,LMV,emirates.com,airport
BOM,HGA,emirates.com,airport
PKX,BUD,emirates.com,airport
CHG,BUD,emirates.com,airport
PEK,BUD,emirates.com,airport
NAY,BUD,emirates.com,airport
CCU,LMV,emirates.com,airport
BSR,MIG,emirates.com,airport
PKX,BEG,emirates.com,airport
CHG,BEG,emirates.com,airport
PEK,BEG,emirates.com,airport
NAY,BEG,emirates.com,airport
CAI,KXN,emirates.com,airport
CCU,GLA,emirates.com,airport
PKX,ALG,emirates.com,airport
CHG,ALG,emirates.com,airport
PEK,ALG,emirates.com,airport
NAY,ALG,emirates.com,airport
BUD,NJF,emirates.com,airport
BOM,HAJ,emirates.com,airport
CCU,BBU,emirates.com,airport
CCU,OTP,emirates.com,airport
BKK,SAN,emirates.com,airport
CAI,KHI,emirates.com,airport
BUD,MPM,emirates.com,airport
CAI,KGD,emirates.com,airport
CCJ,YKF,emirates.com,airport
CCJ,YYZ,emirates.com,airport
CCJ,YTZ,emirates.com,airport
CCJ,YHM,emirates.com,airport
CAI,KDM,emirates.com,airport
CAI,KCH,emirates.com,airport
CAI,GYY,emirates.com,airport
CAI,ORD,emirates.com,airport
CAI,MDW,emirates.com,airport
BHX,LPT,emirates.com,airport
BNE,BHX,emirates.com,airport
PKX,ACC,emirates.com,airport
