departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
KSY,OMH,zd.wego.com,airport,false,*,*,true,*
BER,OMH,zd.wego.com,airport,false,*,*,true,*
BAL,OMH,zd.wego.com,airport,false,*,*,true,*
COV,OMH,zd.wego.com,airport,false,*,*,true,*
CGN,OMH,zd.wego.com,airport,false,*,*,true,*
BAH,OMH,zd.wego.com,airport,false,*,*,true,*
SSH,OMH,zd.wego.com,airport,false,*,*,true,*
JED,OMH,zd.wego.com,airport,false,*,*,true,*
BEG,OMH,zd.wego.com,airport,false,*,*,true,*
DMM,OMH,zd.wego.com,airport,false,*,*,true,*
RUH,OMH,zd.wego.com,airport,false,*,*,true,*
DUS,OMH,zd.wego.com,airport,false,*,*,true,*
ASR,OMH,zd.wego.com,airport,false,*,*,true,*
KWI,OMH,zd.wego.com,airport,false,*,*,true,*
ESB,OMH,zd.wego.com,airport,false,*,*,true,*
GNY,OMH,zd.wego.com,airport,false,*,*,true,*
SJJ,OMH,zd.wego.com,airport,false,*,*,true,*
EBL,OMH,zd.wego.com,airport,false,*,*,true,*
ERZ,OMH,zd.wego.com,airport,false,*,*,true,*
SAW,OMH,zd.wego.com,airport,false,*,*,true,*
DLM,OMH,zd.wego.com,airport,false,*,*,true,*
GZT,OMH,zd.wego.com,airport,false,*,*,true,*
AJI,OMH,zd.wego.com,airport,false,*,*,true,*
EZS,OMH,zd.wego.com,airport,false,*,*,true,*
SZF,OMH,zd.wego.com,airport,false,*,*,true,*
ERC,OMH,zd.wego.com,airport,false,*,*,true,*
NKT,OMH,zd.wego.com,airport,false,*,*,true,*
BGY,OMH,zd.wego.com,airport,false,*,*,true,*
FCO,OMH,zd.wego.com,airport,false,*,*,true,*
BGW,OMH,zd.wego.com,airport,false,*,*,true,*
DXB,OMH,zd.wego.com,airport,false,*,*,true,*
MED,OMH,zd.wego.com,airport,false,*,*,true,*
OMH,EZS,zd.wego.com,airport,false,*,*,true,*
OMH,SZF,zd.wego.com,airport,false,*,*,true,*
OMH,FCO,zd.wego.com,airport,false,*,*,true,*
