departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
DMM,HYD,zm.wego.com,airport,false,*,*,true,*
CCU,BLR,zm.wego.com,airport,false,*,*,true,*
DXB,COK,zm.wego.com,airport,false,*,*,true,*
IST,RUH,zm.wego.com,airport,false,*,*,true,*
AHB,CAI,zm.wego.com,airport,false,*,*,true,*
KHI,RUH,zm.wego.com,airport,false,*,*,true,*
DXB,DEL,zm.wego.com,airport,false,*,*,true,*
RUH,GYD,zm.wego.com,airport,false,*,*,true,*
SAW,RUH,zm.wego.com,airport,false,*,*,true,*
PNQ,DEL,zm.wego.com,airport,false,*,*,true,*
ELQ,DMM,zm.wego.com,airport,false,*,*,true,*
DMM,EAM,zm.wego.com,airport,false,*,*,true,*
BOM,JED,zm.wego.com,airport,false,*,*,true,*
AUH,HMB,zm.wego.com,airport,false,*,*,true,*
DEL,IXL,zm.wego.com,airport,false,*,*,true,*
CGK,DPS,zm.wego.com,airport,false,*,*,true,*
ADD,JED,zm.wego.com,airport,false,*,*,true,*
DAC,RUH,zm.wego.com,airport,false,*,*,true,*
DWC,JED,zm.wego.com,airport,false,*,*,true,*
MCT,DOH,zm.wego.com,airport,false,*,*,true,*
JED,SPX,zm.wego.com,airport,false,*,*,true,*
CCJ,DXB,zm.wego.com,airport,false,*,*,true,*
JED,DWC,zm.wego.com,airport,false,*,*,true,*
DEL,JED,zm.wego.com,airport,false,*,*,true,*
RUH,DAC,zm.wego.com,airport,false,*,*,true,*
SPX,JED,zm.wego.com,airport,false,*,*,true,*
EAM,JED,zm.wego.com,airport,false,*,*,true,*
JED,HYD,zm.wego.com,airport,false,*,*,true,*
DMM,TUU,zm.wego.com,airport,false,*,*,true,*
DAC,JED,zm.wego.com,airport,false,*,*,true,*
LHE,DMM,zm.wego.com,airport,false,*,*,true,*
MCT,DAC,zm.wego.com,airport,false,*,*,true,*
DMM,ELQ,zm.wego.com,airport,false,*,*,true,*
DMM,DEL,zm.wego.com,airport,false,*,*,true,*
