departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
YYZ,CMI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GRI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ZLO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SHV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PHF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MLB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TBN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EVV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GCK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BZN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YQB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MQT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BFL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LRD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SJD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LNK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BTV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EWN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ISP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MGM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PQI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PWM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SWF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LCH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TGZ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HMO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DGO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TRC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AZO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MAF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ZIH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PGV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BMI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SPI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ABE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ISN,theflightsfare.com-CA,airport,false,*,*,false,*
